idBook	idBookRecommended
245729	245729
245729	247487
245729	248041
245729	248338
245729	248980
245729	250195
245729	250654
245729	250879
245729	253320
245729	260497
245729	265934
245729	269550
245729	280592
245729	300223
245729	878449
245729	1473613
245730	245730
245730	246617
245730	246999
245730	249504
245730	252078
245730	253652
245730	254337
245730	256934
245730	278977
245730	630214
245736	247991
245736	251362
245736	382919
245736	395549
245736	247584
245736	252172
245736	252725
245736	315878
245736	247293
245736	248594
245736	251531
245736	247716
245736	257436
245736	259460
245736	386667
245736	245736
245740	251887
245740	256186
245740	245778
245740	246408
245740	246588
245740	247182
245740	251366
245740	254460
245740	249597
245740	260582
245740	299965
245740	248036
245740	248431
245740	249858
245740	250012
245740	251953
245740	256554
245743	277995
245743	247320
245743	261017
245743	305481
245743	287661
245743	260906
245743	609693
245743	355748
245743	297119
245743	245743
245749	250550
245749	298285
245749	262705
245749	272191
245749	340820
245749	249659
245765	746384
245765	283431
245765	251632
245765	321495
245765	246203
245765	252002
245765	249263
245765	285626
245765	310698
245765	252626
245765	249056
245765	283314
245765	347853
245765	254927
245765	246695
245765	247210
245765	278929
245765	252892
245776	259895
245776	255907
245776	245829
245776	257553
245776	259635
245776	269306
245791	247842
245791	248784
245791	250808
245791	251001
245791	251830
245791	262567
245791	264990
245791	246097
245791	246405
245791	248359
245791	250770
245791	250966
245791	258594
245791	294444
245791	249004
245791	249274
245791	249364
245791	251401
245898	277006
245898	249413
245898	301737
245898	290557
245898	249953
245898	256180
245898	276161
245898	257930
245898	256543
245902	251593
245902	254484
245902	255535
245902	267540
245902	251061
245902	251996
245902	255183
245902	284014
245902	248634
245902	250273
245902	253534
245902	269490
245902	732222
245902	247247
245902	247260
245902	249908
245902	251312
245902	289204
245940	274841
245940	249092
245940	275813
245940	247313
245940	253536
245940	247786
245950	245950
245950	248856
245950	248864
245950	251227
245950	252030
245950	254250
245950	271886
245950	291378
245950	293566
245950	294985
245950	298141
245950	305201
245950	315344
245950	322285
245950	323130
245950	329420
245950	353470
245950	424531
245980	254566
245980	258829
245980	368951
245980	320971
245980	295887
245980	251213
245980	296417
245980	283058
245980	283110
245980	286479
245980	3170280
245980	295731
245980	273843
246010	245876
246010	245890
246010	246010
246010	246459
246010	248765
246010	248814
246010	249334
246010	253748
246010	257031
246010	257657
246010	257678
246010	262004
246010	288486
246010	290078
246010	303237
246010	382919
246027	300967
246027	335563
246027	260916
246027	249086
246027	253289
246027	250372
246027	251726
246027	273736
246027	256447
246027	303974
246027	878449
246027	1473613
246027	248796
246027	299938
246027	249582
246027	287700
246027	251368
246027	308515
246027	246027
246090	299147
246090	277322
246090	249528
246090	249989
246090	248210
246090	254210
246090	488035
246090	606157
246090	248235
246090	246346
246090	249876
246090	248610
246090	251968
246090	270777
246090	319952
246090	253463
246186	247293
246186	245736
246186	252172
246186	246722
246186	248594
246186	252405
246186	250802
246186	1203913
246186	382919
246186	292671
246186	246663
246186	250540
246186	246996
246186	251531
246186	259346
246186	291434
246186	247584
246186	269814
246186	246186
246187	257578
246187	249557
246187	249350
246187	278817
246187	249317
246187	261254
246187	267071
246187	248396
246187	245915
246187	247320
246187	272507
246187	309312
246187	288747
246187	246187
246193	256347
246193	390958
246193	253564
246193	256994
246193	294411
246193	333062
246193	246723
246193	357472
246193	465679
246193	249292
246193	248674
246193	253463
246193	253615
246193	307352
246193	250673
246270	252890
246270	247109
246270	245873
246270	249340
246270	248755
246270	2827642
246270	3110768
246270	246270
246270	1431557
246270	509633
246270	343829
246270	297461
246270	488081
246270	934244
246356	257610
246356	249086
246356	252341
246356	250867
246356	273264
246356	250372
246356	271810
246356	251235
246356	272736
246356	256496
246356	283963
246356	257709
246356	251899
246356	270751
246356	251368
246356	339171
246356	251145
246356	452965
246356	246356
246392	263303
246392	364200
246392	249233
246392	420167
246392	275187
246392	676827
246392	258609
246392	248256
246392	313142
246392	313231
246392	291299
246392	341364
246421	246722
246421	247130
246421	254006
246421	265594
246421	248210
246421	246562
246421	252073
246421	252365
246421	269150
246421	246663
246421	248559
246421	248765
246421	247363
246421	249876
246421	250515
246421	246013
246421	247485
246493	246509
246493	248106
246493	249340
246493	251997
246493	252890
246493	250957
246493	249541
246493	248207
246493	245991
246493	247546
246493	251241
246493	248043
246562	257657
246562	966301
246562	472735
246562	249973
246562	339190
246562	253073
246562	265877
246562	248760
246562	249190
246562	695063
246562	542262
246562	254396
246562	297325
246562	255159
246562	339075
246562	259235
246562	247144
246562	248060
246623	570204
246623	269814
246623	263697
246623	253748
246623	868448
246623	251531
246623	291434
246623	247716
246623	260117
246623	382919
246623	456019
246623	292671
246623	245839
246623	248210
246623	252172
246623	291081
246623	246623
246684	251020
246684	431315
246684	250828
246684	321098
246684	302698
246684	251835
246684	398994
246684	250742
246684	251688
246684	251196
246684	255315
246684	318335
246684	248162
246684	274468
246684	260228
246684	270107
246684	253619
246684	247923
246721	248896
246721	246790
246721	251789
246721	247797
246721	275039
246721	258325
246721	251859
246721	250723
246721	246461
246721	249278
246721	246093
246721	269815
246721	248366
246721	252850
246721	246315
246721	254955
246721	247384
246721	252531
